task,,NegToPos,NegToPos,NegToPos,PosToNeg,PosToNeg,PosToNeg,toxicRandom,toxicRandom,toxicRandom,toxicTop,toxicTop,toxicTop
metric,,CosScore,Perplexity,Success,CosScore,Perplexity,Success,CosScore,Perplexity,Toxicity,CosScore,Perplexity,Toxicity
llm,generator,,,,,,,,,,,,
alpaca_7B_Base,CONTINUE_alpaca_7B_Base,0.5004153977930546,37.57972891093021,0.364,0.5017722305357456,39.88728347746467,0.203,0.43221876630559564,32.69771008162169,0.12568718219230002,0.44430394302681087,36.90099051818924,0.37106693588139
alpaca_7B_Base,FUDGE_alpaca_7B_Base,0.39229439836740493,208.1810458241804,0.318,0.39723341406136753,271.1785121277892,0.429,0.42665001983195544,61.661343655411486,0.12092959218940001,0.35757119659893216,368.95186389114053,0.23435605015014
alpaca_7B_Base,INJECTION_alpaca_7B_Base,0.5321659296751022,55.890577944765234,0.454,0.5383021374940872,63.483324779686356,0.396,0.4310194915533066,36.36009819586356,0.1401806668092,0.4433569844253361,37.08744534882936,0.359387316143
alpaca_7B_Base,OURS-L_alpaca_7B_Base,0.4466121958121657,37.295233908546976,0.467,0.45319132080674174,46.06082730968633,0.332,0.4166048012282699,39.61025188372538,0.12009449284885998,0.4184952608048916,38.2058590156538,0.23447800141693
alpaca_7B_Base,OURS-P_alpaca_7B_Base,0.5076183945201337,72.19455678199158,0.309,0.5059212237820029,75.27536789742626,0.426,0.4424359432309866,57.41668469898672,0.13451840578319998,0.4458329612389207,60.56121697196041,0.37271129626146143
alpaca_7B_Base,PREADD_alpaca_7B_Base,0.4653480582311749,73.02075945984625,0.395,0.45692063611745837,77.64424235035617,0.286,0.40925515872612594,55.89026513209453,0.1067069418327,0.41635593669489024,64.51469299576065,0.28025366988545
falcon_7B_Base,CONTINUE_falcon_7B_Base,0.49803076224774123,31.59858262575291,0.357,0.49777440567314624,33.71431279461926,0.206,0.42847655968740583,25.58126041555405,0.13662379181239998,0.4422630171626806,28.89646053814888,0.38348597241849997
falcon_7B_Base,FUDGE_falcon_7B_Base,0.39671978510171174,193.3466447501347,0.347,0.4025553825646639,271.23353126280597,0.41,0.41893969251215457,46.52252484013637,0.13350771268245,0.35817556618899105,371.80731913033753,0.33253339218190003
falcon_7B_Base,INJECTION_falcon_7B_Base,0.502034302458167,36.85175760503313,0.477,0.5156393316239118,34.296465864385596,0.328,0.4267335358038545,24.791043635606766,0.16343501839566,0.44345726442337036,25.764254533529282,0.35972586813173174
falcon_7B_Base,OURS-L_falcon_7B_Base,0.4623459520339966,30.749203716562814,0.478,0.44866462944447993,36.17525046366196,0.327,0.4254433257151395,28.026829342484476,0.1156075750208,0.4181594782210886,28.41192797214569,0.24797455119159156
falcon_7B_Base,OURS-P_falcon_7B_Base,0.512737116061151,48.34890486499456,0.414,0.513879674166441,47.27569374514789,0.328,0.4420329152904451,32.9924447240237,0.1613408839259,0.45366119901835916,40.56759533815183,0.4468551316328729
falcon_7B_Base,PREADD_falcon_7B_Base,0.491540218450129,64.12181339168549,0.39,0.47677989461272957,65.08300888466691,0.256,0.41014948731288314,46.76942822885513,0.12253263899627,0.41420304056629537,59.369618759976255,0.3337894896851
llama2_13B_Base,CONTINUE_llama2_13B_Base,0.4986953366547823,37.75900847736209,0.384,0.5097605638206005,41.39686536281667,0.188,0.43935097032412884,32.909987375662254,0.1335344019403,0.4409331440553069,39.25278682780266,0.34127649454334996
llama2_13B_Base,FUDGE_llama2_13B_Base,0.3943664114996791,219.2409524468672,0.291,0.40617517436482015,256.50546190571885,0.42,0.4229176226556301,58.42925920904991,0.11849949252670001,0.35950633411481975,374.8388597045118,0.2532710067013
llama2_13B_Base,INJECTION_llama2_13B_Base,0.5664593840539456,83.86605840391857,0.283,0.5564388266131282,79.62636580112918,0.356,0.4351649010144174,46.190678871668375,0.14476904636864998,0.4412341985851526,48.72001760428374,0.33600078418957
llama2_13B_Base,OURS-L_llama2_13B_Base,0.4562060376107693,39.38158565170823,0.464,0.45065783689543604,44.56286709954491,0.305,0.42340394910704343,41.94756039738655,0.11333119098410001,0.4170268966332078,42.7369795086154,0.230327194121377
llama2_13B_Base,OURS-P_llama2_13B_Base,0.5077552476115524,60.188910621834786,0.365,0.505369280487299,66.42669993869922,0.418,0.451271161897108,43.020129094989514,0.1335445481657,0.44983064382523297,42.86292338204384,0.3851325006071
llama2_13B_Base,PREADD_llama2_13B_Base,0.45251633529365065,76.53478476927206,0.416,0.46900090703368186,75.41758367852677,0.238,0.4151420878507197,61.477972102858715,0.10713037797426302,0.42426653038710355,70.29019309767527,0.27089624508347154
opt_7B_Base,CONTINUE_opt_7B_Base,0.5104285487011075,23.954123226463373,0.333,0.513323328576982,25.479601507548427,0.269,0.43646150366961955,23.56839681482315,0.1440924585875,0.44818112399429083,31.96475269605925,0.3730984253052
opt_7B_Base,FUDGE_opt_7B_Base,0.4114839398264885,198.17970794782175,0.247,0.4148018281459808,250.28827763674124,0.46,0.4207664137389511,56.96293451132706,0.14511689324899998,0.3600617781411856,378.3323416725232,0.3650025874648
opt_7B_Base,INJECTION_opt_7B_Base,0.5562564612329006,36.37980267260594,0.417,0.5479380005002021,41.17499880305456,0.372,0.42905551281943916,22.027978389678832,0.1632529202602,0.44289088010787964,28.65976985211579,0.38874235507489996
opt_7B_Base,OURS-L_opt_7B_Base,0.4720026086345315,26.63443463022234,0.428,0.45908817277103664,25.48689443602239,0.357,0.4170594869386405,25.002674247145652,0.124425422109524,0.4253797786310315,32.341834019064905,0.24995432679140003
